CODE;OBJECT NAME ENG;OBJECT NAME ESP;OBJECT_TYPE_ENG;OBJECT_TYPE_ESP;CONSTELLATION_ENG;CONSTELLATION_ESP
NGC217;;;Dark Nebula;Nebulosa oscura;Ursa Major;Osa Mayor
NGC2170;;;Star;Estrella;Virgo;Virgo
NGC2171;;;Double Star;Estrella doble;Canis Major;Can Mayor
NGC2172;;;Elliptical Galaxy;Galaxia eliptica;Ara;Altar
NGC2173;;;Planetary Nebula;Nebulosa planetaria;Antlia;Antlia
NGC2174;;;Elliptical Galaxy;Galaxia eliptica;Draco;Dragón
NGC2175;;;HII Region;Región HIII;Reticulum;Retículo
NGC2176;;;Globular Cluster;Cumulo globar;Apus;Ave del Paraíso
NGC2177;;;Double Star;Estrella doble;Virgo;Virgo
NGC2178;;;Red Giant;Gigante roja;Hercules;Hércules
NGC2179;;;Variable Star;Estrella variable;Pisces;Piscis
NGC218;;;Spiral Galaxy;Galaxia espiral;Cassiopeia;Casiopea
NGC2180;;;Galaxy;Galaxia;Centaurus;Centauro
NGC2181;;;Emission Nebula;Nebula de emisión;Triangulum Australe;Triángulo Austral
NGC2182;;;Dark Nebula;Nebulosa oscura;Ara;Altar
NGC2183;;;HII Region;Región HIII;Hydrus;Hidra Macho
NGC2184;;;Globular Cluster;Cumulo globar;Crux;Cruz del Sur
NGC2185;;;HII Region;Región HIII;Canes Venatici;Lebreles
NGC2186;;;Star;Estrella;Carina;Quilla
NGC2187;;;Galaxy Group;Grupo Galaxtico;Volans;Pez Volador
NGC2188;;;Galaxy Group;Grupo Galaxtico;Canis Minor;Can Menor
NGC2189;;;Variable Star;Estrella variable;Tucana;Tucán
NGC219;;;Galaxy Group;Grupo Galaxtico;Chamaeleon;Camaleón
NGC2190;;;Globular Cluster;Cumulo globar;Corvus;Cuervo
NGC2191;;;Reflection Nebula;Nebula de reflexión;Dorado;Dorado
NGC2192;;;White Dwarf;Enana blanca;Aries;Aries
NGC2193;;;HII Region;Región HIII;Libra;Libra
NGC2194;;;Spiral Galaxy;Galaxia espiral;Crater;Copa
NGC2195;;;Emission Nebula;Nebula de emisión;Corona Borealis;Corona Boreal
NGC2196;;;HII Region;Región HIII;Crater;Copa
NGC2197;;;Variable Star;Estrella variable;Ursa Major;Osa Mayor
NGC2198;;;Quasar;Quasar;Sculptor;Escultor
NGC2199;;;Globular Cluster;Cumulo globar;Norma;Escuadra
NGC22;;;Double Star;Estrella doble;Scutum;Escudo
NGC220;;;Supernova Remnant;Remanente de supernova;Volans;Pez Volador
NGC2200;;;White Dwarf;Enana blanca;Coma Berenices;Cabellera de Berenice
NGC2201;;;Irregular Galaxy;Galaxia irregular;Vulpecula;Zorrilla
NGC2202;;;Dark Nebula;Nebulosa oscura;Cepheus;Cefeo
NGC2203;;;White Dwarf;Enana blanca;Corona Borealis;Corona Boreal
NGC2204;;;Emission Nebula;Nebula de emisión;Puppis;Popa
NGC2205;;;Planetary Nebula;Nebulosa planetaria;Corona Australis;Corona Austral
NGC2206;;;Emission Nebula;Nebula de emisión;Chamaeleon;Camaleón
NGC2207;;;Red Giant;Gigante roja;Sextans;Sextante
NGC2208;;;Galaxy;Galaxia;Ursa Major;Osa Mayor
NGC2209;;;Emission Nebula;Nebula de emisión;Aquila;Águila
NGC221;;;Supernova Remnant;Remanente de supernova;Scutum;Escudo
NGC2210;;;Galaxy Group;Grupo Galaxtico;Centaurus;Centauro
NGC2211;;;White Dwarf;Enana blanca;Norma;Escuadra
NGC2212;;;Star;Estrella;Cancer;Cáncer
NGC2213;;;Galaxy Group;Grupo Galaxtico;Cancer;Cáncer
NGC2214;;;Elliptical Galaxy;Galaxia eliptica;Ara;Altar
NGC2215;;;Globular Cluster;Cumulo globar;Lupus;Lobo
NGC2216;;;Dark Nebula;Nebulosa oscura;Pisces;Piscis
NGC2217;;;Globular Cluster;Cumulo globar;Norma;Escuadra
NGC2218;;;Spiral Galaxy;Galaxia espiral;Perseus;Perseo
NGC2219;;;Star;Estrella;Fornax;Horno
NGC222;;;Dark Nebula;Nebulosa oscura;Centaurus;Centauro
NGC2220;;;Dark Nebula;Nebulosa oscura;Triangulum Australe;Triángulo Austral
NGC2221;;;Emission Nebula;Nebula de emisión;Triangulum Australe;Triángulo Austral
NGC2222;;;Spiral Galaxy;Galaxia espiral;Columba;Paloma
NGC2223;;;Globular Cluster;Cumulo globar;Pegasus;Pegaso
NGC2224;;;Planetary Nebula;Nebulosa planetaria;Pegasus;Pegaso
NGC2225;;;Galaxy Group;Grupo Galaxtico;Lyra;Lira
NGC2226;;;Emission Nebula;Nebula de emisión;Lyra;Lira
NGC2227;;;Dark Nebula;Nebulosa oscura;Auriga;Cochero
NGC2228;;;HII Region;Región HIII;Corona Australis;Corona Austral
NGC2229;;;Reflection Nebula;Nebula de reflexión;Ophiuchus;Ofiuco
NGC223;;;Open Cluster;Cumulo abierto;Canes Venatici;Lebreles
NGC2230;;;Red Giant;Gigante roja;Antlia;Antlia
NGC2231;;;Globular Cluster;Cumulo globar;Columba;Paloma
NGC2232;Rosette Cluster;Cúmulo de la Roseta;Open Cluster;Cumulo abierto;Monoceros;Unicornio
NGC2233;;;Galaxy;Galaxia;Lupus;Lobo
NGC2234;;;Quasar;Quasar;Aquila;Águila
NGC2235;;;Star;Estrella;Aquila;Águila
NGC2236;;;Variable Star;Estrella variable;Monoceros;Unicornio
NGC2237;Rosette Nebula;Nebulosa de la Roseta;Emission Nebula;Nebula de emisión;Monoceros;Unicornio
NGC2238;;;Emission Nebula;Nebula de emisión;Canis Minor;Can Menor
NGC2239;;;Asterism;Asterismo;Piscis Austrinus;Pez Austral
NGC224;Andromeda Galaxy;Galaxia de Andrómeda;Galaxy;Galaxia;Andromeda;Andrómeda
NGC2240;;;Emission Nebula;Nebula de emisión;Virgo;Virgo
NGC2241;;;Reflection Nebula;Nebula de reflexión;Ophiuchus;Ofiuco
NGC2242;;;Emission Nebula;Nebula de emisión;Apus;Ave del Paraíso
NGC2243;;;Galaxy;Galaxia;Pavo;Pavo Real
NGC2244;;;Red Giant;Gigante roja;Norma;Escuadra
NGC2245;;;Galaxy Group;Grupo Galaxtico;Orion;Orión
NGC2246;;;Supernova Remnant;Remanente de supernova;Canis Major;Can Mayor
NGC2247;;;Emission Nebula;Nebula de emisión;Equuleus;Caballito
NGC2248;;;Irregular Galaxy;Galaxia irregular;Canes Venatici;Lebreles
NGC2249;;;Reflection Nebula;Nebula de reflexión;Carina;Quilla
NGC225;;;Variable Star;Estrella variable;Gemini;Géminis
NGC2250;;;Dark Nebula;Nebulosa oscura;Sculptor;Escultor
NGC2251;;;Red Giant;Gigante roja;Crux;Cruz del Sur
NGC2252;;;Reflection Nebula;Nebula de reflexión;Canis Minor;Can Menor
NGC2253;;;Red Giant;Gigante roja;Centaurus;Centauro
NGC2254;;;Galaxy;Galaxia;Cepheus;Cefeo
NGC2255;;;Double Star;Estrella doble;Tucana;Tucán
NGC2256;;;Open Cluster;Cumulo abierto;Draco;Dragón
NGC2257;;;Reflection Nebula;Nebula de reflexión;Telescopium;Telescopio
NGC2258;;;Planetary Nebula;Nebulosa planetaria;Aquila;Águila
NGC2259;;;Irregular Galaxy;Galaxia irregular;Crux;Cruz del Sur
NGC226;;;Spiral Galaxy;Galaxia espiral;Coma Berenices;Cabellera de Berenice
NGC2260;;;Irregular Galaxy;Galaxia irregular;Norma;Escuadra
NGC2261;Hubbles Variable Nebula;Nebulosa Variable de Hubble;Reflection Nebula;Nebula de reflexión;Monoceros;Unicornio
NGC2262;;;Planetary Nebula;Nebulosa planetaria;Centaurus;Centauro
NGC2263;;;White Dwarf;Enana blanca;Pictor;Pintor
NGC2264;;;Emission Nebula;Nebula de emisión;Hydrus;Hidra Macho
NGC2265;;;Supernova Remnant;Remanente de supernova;Scorpius;Escorpión
NGC2266;;;Supernova Remnant;Remanente de supernova;Vulpecula;Zorrilla
NGC2267;;;Open Cluster;Cumulo abierto;Canis Major;Can Mayor
NGC2268;;;Quasar;Quasar;Triangulum Australe;Triángulo Austral
NGC2269;;;Red Giant;Gigante roja;Sagitta;Flecha
NGC227;;;Dark Nebula;Nebulosa oscura;Hydra;Hidra
NGC2270;;;Galaxy Group;Grupo Galaxtico;Corona Australis;Corona Austral
NGC2271;;;HII Region;Región HIII;Cepheus;Cefeo
NGC2272;;;Emission Nebula;Nebula de emisión;Aquila;Águila
NGC2273;;;Elliptical Galaxy;Galaxia eliptica;Camelopardalis;Jirafa
NGC2274;;;Red Giant;Gigante roja;Lyra;Lira
NGC2275;;;Red Giant;Gigante roja;Eridanus;Erídano
NGC2276;;;HII Region;Región HIII;Sagittarius;Sagitario
NGC2277;;;Irregular Galaxy;Galaxia irregular;Perseus;Perseo
NGC2278;;;HII Region;Región HIII;Corona Borealis;Corona Boreal
NGC2279;;;Elliptical Galaxy;Galaxia eliptica;Centaurus;Centauro
NGC228;;;Emission Nebula;Nebula de emisión;Perseus;Perseo
NGC2280;;;Emission Nebula;Nebula de emisión;Phoenix;Fénix
NGC2281;;;Galaxy Group;Grupo Galaxtico;Centaurus;Centauro
NGC2282;;;Star;Estrella;Octans;Octante
NGC2283;;;Emission Nebula;Nebula de emisión;Sculptor;Escultor
NGC2284;;;Elliptical Galaxy;Galaxia eliptica;Auriga;Cochero
NGC2285;;;Emission Nebula;Nebula de emisión;Columba;Paloma
NGC2286;;;Quasar;Quasar;Eridanus;Erídano
NGC2287;Messier 41;Messier 41;Open Cluster;Cumulo abierto;Canis Major;Can Mayor
NGC2288;;;Quasar;Quasar;Norma;Escuadra
NGC2289;;;Planetary Nebula;Nebulosa planetaria;Musca;Mosca
NGC229;;;Elliptical Galaxy;Galaxia eliptica;Auriga;Cochero
NGC2290;;;Reflection Nebula;Nebula de reflexión;Indus;Indio
NGC2291;;;Double Star;Estrella doble;Columba;Paloma
NGC2292;;;Variable Star;Estrella variable;Cassiopeia;Casiopea
NGC2293;;;Supernova Remnant;Remanente de supernova;Cepheus;Cefeo
NGC2294;;;Double Star;Estrella doble;Eridanus;Erídano
NGC2295;;;Open Cluster;Cumulo abierto;Pyxis;Brújula
NGC2296;;;Asterism;Asterismo;Columba;Paloma
NGC2297;;;Asterism;Asterismo;Ophiuchus;Ofiuco
NGC2298;;;Irregular Galaxy;Galaxia irregular;Capricornus;Capricornio
NGC2299;;;Red Giant;Gigante roja;Monoceros;Unicornio
NGC23;;;Open Cluster;Cumulo abierto;Carina;Quilla
NGC230;;;Irregular Galaxy;Galaxia irregular;Mensa;Mesa
NGC2300;;;Reflection Nebula;Nebula de reflexión;Indus;Indio
NGC2301;;;Open Cluster;Cumulo abierto;Capricornus;Capricornio
NGC2302;;;Emission Nebula;Nebula de emisión;Indus;Indio
NGC2303;;;Supernova Remnant;Remanente de supernova;Sagittarius;Sagitario
NGC2304;;;Supernova Remnant;Remanente de supernova;Indus;Indio
NGC2305;;;Reflection Nebula;Nebula de reflexión;Sculptor;Escultor
NGC2306;;;Irregular Galaxy;Galaxia irregular;Sagittarius;Sagitario
NGC2307;;;White Dwarf;Enana blanca;Puppis;Popa
NGC2308;;;Supernova Remnant;Remanente de supernova;Indus;Indio
NGC2309;;;Reflection Nebula;Nebula de reflexión;Hercules;Hércules
NGC231;;;Double Star;Estrella doble;Eridanus;Erídano
NGC2310;;;Star;Estrella;Perseus;Perseo
NGC2311;;;White Dwarf;Enana blanca;Telescopium;Telescopio
NGC2312;;;Open Cluster;Cumulo abierto;Delphinus;Delfín
NGC2313;;;Star;Estrella;Grus;Grulla
NGC2314;;;Open Cluster;Cumulo abierto;Lyra;Lira
NGC2315;;;Red Giant;Gigante roja;Libra;Libra
NGC2316;;;Red Giant;Gigante roja;Lacerta;Lagarto
NGC2317;;;Double Star;Estrella doble;Lynx;Lince
NGC2318;;;Red Giant;Gigante roja;Sagittarius;Sagitario
NGC2319;;;Quasar;Quasar;Lacerta;Lagarto
NGC232;;;Planetary Nebula;Nebulosa planetaria;Norma;Escuadra
NGC2320;;;Irregular Galaxy;Galaxia irregular;Tucana;Tucán
NGC2321;;;Dark Nebula;Nebulosa oscura;Sculptor;Escultor
NGC2322;;;Asterism;Asterismo;Reticulum;Retículo
NGC2323;;;Galaxy;Galaxia;Grus;Grulla
NGC2324;;;Spiral Galaxy;Galaxia espiral;Vulpecula;Zorrilla
NGC2325;;;Spiral Galaxy;Galaxia espiral;Lacerta;Lagarto
NGC2326;;;Star;Estrella;Triangulum;Triángulo
NGC2327;;;Elliptical Galaxy;Galaxia eliptica;Lynx;Lince
NGC2328;;;Spiral Galaxy;Galaxia espiral;Aquila;Águila
NGC2329;;;Spiral Galaxy;Galaxia espiral;Caelum;Cincel
NGC233;;;Planetary Nebula;Nebulosa planetaria;Tucana;Tucán
NGC2330;;;Asterism;Asterismo;Sagitta;Flecha
NGC2331;;;Quasar;Quasar;Dorado;Dorado
NGC2332;;;Galaxy Group;Grupo Galaxtico;Bootes;Boyero
NGC2333;;;Emission Nebula;Nebula de emisión;Leo;León
NGC2334;;;Spiral Galaxy;Galaxia espiral;Dorado;Dorado
NGC2335;;;Spiral Galaxy;Galaxia espiral;Microscopium;Microscopio
NGC2336;;;Elliptical Galaxy;Galaxia eliptica;Pegasus;Pegaso
NGC2337;;;Dark Nebula;Nebulosa oscura;Piscis Austrinus;Pez Austral
NGC2338;;;Globular Cluster;Cumulo globar;Centaurus;Centauro
NGC2339;;;Double Star;Estrella doble;Columba;Paloma
NGC234;;;Open Cluster;Cumulo abierto;Canis Minor;Can Menor
NGC2340;;;Star;Estrella;Canis Minor;Can Menor
NGC2341;;;Dark Nebula;Nebulosa oscura;Eridanus;Erídano
NGC2342;;;Emission Nebula;Nebula de emisión;Ursa Minor;Osa Menor
NGC2343;;;White Dwarf;Enana blanca;Andromeda;Andrómeda
NGC2344;;;White Dwarf;Enana blanca;Grus;Grulla
NGC2345;;;Elliptical Galaxy;Galaxia eliptica;Auriga;Cochero
NGC2346;;;Star;Estrella;Coma Berenices;Cabellera de Berenice
NGC2347;;;White Dwarf;Enana blanca;Ursa Minor;Osa Menor
NGC2348;;;Asterism;Asterismo;Perseus;Perseo
NGC2349;;;Dark Nebula;Nebulosa oscura;Crux;Cruz del Sur
NGC235;;;Galaxy Group;Grupo Galaxtico;Ophiuchus;Ofiuco
NGC2350;;;Dark Nebula;Nebulosa oscura;Canes Venatici;Lebreles
NGC2351;;;Irregular Galaxy;Galaxia irregular;Serpens;Serpiente
NGC2352;;;Dark Nebula;Nebulosa oscura;Canis Major;Can Mayor
NGC2353;;;Dark Nebula;Nebulosa oscura;Eridanus;Erídano
NGC2354;;;Quasar;Quasar;Cassiopeia;Casiopea
NGC2355;;;Spiral Galaxy;Galaxia espiral;Pegasus;Pegaso
NGC2356;;;Supernova Remnant;Remanente de supernova;Pegasus;Pegaso
NGC2357;;;Open Cluster;Cumulo abierto;Piscis Austrinus;Pez Austral
NGC2358;;;Open Cluster;Cumulo abierto;Lacerta;Lagarto
NGC2359;;;Galaxy Group;Grupo Galaxtico;Mensa;Mesa
NGC236;;;Variable Star;Estrella variable;Pyxis;Brújula
NGC2360;;;Star;Estrella;Lynx;Lince
NGC2361;;;Elliptical Galaxy;Galaxia eliptica;Circinus;Compás
NGC2362;;;Open Cluster;Cumulo abierto;Scorpius;Escorpión
NGC2363;;;Supernova Remnant;Remanente de supernova;Pictor;Pintor
NGC2364;;;White Dwarf;Enana blanca;Apus;Ave del Paraíso
NGC2365;;;Supernova Remnant;Remanente de supernova;Cetus;Ballena
NGC2366;;;Quasar;Quasar;Pyxis;Brújula
NGC2367;;;Quasar;Quasar;Scorpius;Escorpión
NGC2368;;;Supernova Remnant;Remanente de supernova;Sagittarius;Sagitario
NGC2369;;;Quasar;Quasar;Antlia;Antlia
NGC237;;;Dark Nebula;Nebulosa oscura;Mensa;Mesa
NGC2370;;;Quasar;Quasar;Dorado;Dorado
NGC2371;;;HII Region;Región HIII;Pegasus;Pegaso
NGC2372;;;Quasar;Quasar;Carina;Quilla
NGC2373;;;Open Cluster;Cumulo abierto;Serpens;Serpiente
NGC2374;;;Irregular Galaxy;Galaxia irregular;Mensa;Mesa
NGC2375;;;Open Cluster;Cumulo abierto;Leo;León
NGC2376;;;Galaxy;Galaxia;Equuleus;Caballito
NGC2377;;;Supernova Remnant;Remanente de supernova;Corona Australis;Corona Austral
NGC2378;;;Globular Cluster;Cumulo globar;Triangulum;Triángulo
NGC2379;;;Red Giant;Gigante roja;Columba;Paloma
NGC238;;;Red Giant;Gigante roja;Aquila;Águila
NGC2380;;;Red Giant;Gigante roja;Triangulum;Triángulo
NGC2381;;;Spiral Galaxy;Galaxia espiral;Aquila;Águila
NGC2382;;;HII Region;Región HIII;Camelopardalis;Jirafa
NGC2383;;;Irregular Galaxy;Galaxia irregular;Canis Minor;Can Menor
NGC2384;;;Asterism;Asterismo;Cepheus;Cefeo
NGC2385;;;HII Region;Región HIII;Hydra;Hidra
NGC2386;;;Irregular Galaxy;Galaxia irregular;Equuleus;Caballito
NGC2387;;;HII Region;Región HIII;Canis Major;Can Mayor
NGC2388;;;Asterism;Asterismo;Orion;Orión
NGC2389;;;Elliptical Galaxy;Galaxia eliptica;Cancer;Cáncer
NGC239;;;Planetary Nebula;Nebulosa planetaria;Octans;Octante
NGC2390;;;Red Giant;Gigante roja;Aquila;Águila
NGC2391;;;Asterism;Asterismo;Octans;Octante
NGC2392;Eskimo Nebula;Nebulosa del Esquimal;Planetary Nebula;Nebulosa planetaria;Gemini;Géminis
NGC2393;;;Dark Nebula;Nebulosa oscura;Musca;Mosca
NGC2394;;;Dark Nebula;Nebulosa oscura;Corona Australis;Corona Austral
NGC2395;;;Open Cluster;Cumulo abierto;Octans;Octante
NGC2396;;;Galaxy Group;Grupo Galaxtico;Ara;Altar
NGC2397;;;Quasar;Quasar;Telescopium;Telescopio
NGC2398;;;Irregular Galaxy;Galaxia irregular;Eridanus;Erídano
NGC2399;;;Planetary Nebula;Nebulosa planetaria;Dorado;Dorado
NGC24;;;Quasar;Quasar;Ophiuchus;Ofiuco
NGC240;;;Emission Nebula;Nebula de emisión;Aquarius;Acuario
NGC2400;;;Double Star;Estrella doble;Draco;Dragón
NGC2401;;;Supernova Remnant;Remanente de supernova;Canes Venatici;Lebreles
NGC2402;;;Galaxy;Galaxia;Cassiopeia;Casiopea
NGC2403;;;Supernova Remnant;Remanente de supernova;Andromeda;Andrómeda
NGC2404;;;White Dwarf;Enana blanca;Carina;Quilla
NGC2405;;;Star;Estrella;Phoenix;Fénix
NGC2406;;;HII Region;Región HIII;Crater;Copa
NGC2407;;;Supernova Remnant;Remanente de supernova;Lepus;Liebre
NGC2408;;;Star;Estrella;Pegasus;Pegaso
NGC2409;;;Spiral Galaxy;Galaxia espiral;Coma Berenices;Cabellera de Berenice
NGC241;;;Double Star;Estrella doble;Ara;Altar
NGC2410;;;Reflection Nebula;Nebula de reflexión;Mensa;Mesa
NGC2411;;;Red Giant;Gigante roja;Triangulum;Triángulo
NGC2412;;;Red Giant;Gigante roja;Cetus;Ballena
NGC2413;;;Double Star;Estrella doble;Monoceros;Unicornio
NGC2414;;;White Dwarf;Enana blanca;Sextans;Sextante
NGC2415;;;HII Region;Región HIII;Orion;Orión
NGC2416;;;Dark Nebula;Nebulosa oscura;Sagitta;Flecha
NGC2417;;;Galaxy Group;Grupo Galaxtico;Horologium;Reloj
NGC2418;;;Supernova Remnant;Remanente de supernova;Cetus;Ballena
NGC2419;Intergalactic Wanderer;Vagabundo Intergaláctico;Globular Cluster;Cumulo globar;Lynx;Lince
NGC242;;;Galaxy Group;Grupo Galaxtico;Monoceros;Unicornio
NGC2420;;;Variable Star;Estrella variable;Orion;Orión
NGC2421;;;Dark Nebula;Nebulosa oscura;Horologium;Reloj
NGC2422;;;White Dwarf;Enana blanca;Scutum;Escudo
NGC2423;;;Emission Nebula;Nebula de emisión;Centaurus;Centauro
NGC2424;;;Emission Nebula;Nebula de emisión;Pavo;Pavo Real
NGC2425;;;White Dwarf;Enana blanca;Norma;Escuadra
NGC2426;;;Elliptical Galaxy;Galaxia eliptica;Aries;Aries
NGC2427;;;Spiral Galaxy;Galaxia espiral;Carina;Quilla
NGC2428;;;Planetary Nebula;Nebulosa planetaria;Piscis Austrinus;Pez Austral
NGC2429;;;Irregular Galaxy;Galaxia irregular;Dorado;Dorado
NGC243;;;Quasar;Quasar;Musca;Mosca
NGC2430;;;Globular Cluster;Cumulo globar;Lyra;Lira
NGC2431;;;Irregular Galaxy;Galaxia irregular;Indus;Indio
NGC2432;;;Reflection Nebula;Nebula de reflexión;Perseus;Perseo
NGC2433;;;Elliptical Galaxy;Galaxia eliptica;Vulpecula;Zorrilla
NGC2434;;;Spiral Galaxy;Galaxia espiral;Octans;Octante
NGC2435;;;Galaxy Group;Grupo Galaxtico;Mensa;Mesa
NGC2436;;;Spiral Galaxy;Galaxia espiral;Corvus;Cuervo
NGC2437;;;Planetary Nebula;Nebulosa planetaria;Ophiuchus;Ofiuco
NGC2438;;;Quasar;Quasar;Ophiuchus;Ofiuco
NGC2439;;;Star;Estrella;Aquila;Águila
NGC244;;;Galaxy;Galaxia;Columba;Paloma
NGC2440;;;Planetary Nebula;Nebulosa planetaria;Columba;Paloma
NGC2441;;;Quasar;Quasar;Pisces;Piscis
NGC2442;;;Dark Nebula;Nebulosa oscura;Perseus;Perseo
NGC2443;;;Globular Cluster;Cumulo globar;Scorpius;Escorpión
NGC2444;;;Galaxy Group;Grupo Galaxtico;Chamaeleon;Camaleón
NGC2445;;;Red Giant;Gigante roja;Puppis;Popa
NGC2446;;;Reflection Nebula;Nebula de reflexión;Triangulum;Triángulo
NGC2447;;;Spiral Galaxy;Galaxia espiral;Tucana;Tucán
NGC2448;;;White Dwarf;Enana blanca;Gemini;Géminis
NGC2449;;;Reflection Nebula;Nebula de reflexión;Cassiopeia;Casiopea
NGC245;;;White Dwarf;Enana blanca;Apus;Ave del Paraíso
NGC2450;;;Supernova Remnant;Remanente de supernova;Vela;Velas
NGC2451;;;Irregular Galaxy;Galaxia irregular;Hercules;Hércules
NGC2452;;;Variable Star;Estrella variable;Cetus;Ballena
NGC2453;;;Variable Star;Estrella variable;Camelopardalis;Jirafa
NGC2454;;;Variable Star;Estrella variable;Triangulum Australe;Triángulo Austral
NGC2455;;;Open Cluster;Cumulo abierto;Taurus;Tauro
NGC2456;;;Planetary Nebula;Nebulosa planetaria;Centaurus;Centauro
NGC2457;;;Red Giant;Gigante roja;Tucana;Tucán
NGC2458;;;White Dwarf;Enana blanca;Orion;Orión
NGC2459;;;Emission Nebula;Nebula de emisión;Chamaeleon;Camaleón
NGC246;;;White Dwarf;Enana blanca;Ara;Altar
NGC2460;;;Spiral Galaxy;Galaxia espiral;Cepheus;Cefeo
NGC2461;;;Supernova Remnant;Remanente de supernova;Virgo;Virgo
NGC2462;;;Quasar;Quasar;Reticulum;Retículo
NGC2463;;;Elliptical Galaxy;Galaxia eliptica;Cancer;Cáncer
NGC2464;;;Double Star;Estrella doble;Ophiuchus;Ofiuco
NGC2465;;;Galaxy;Galaxia;Grus;Grulla
NGC2466;;;Planetary Nebula;Nebulosa planetaria;Auriga;Cochero
NGC2467;;;HII Region;Región HIII;Delphinus;Delfín
NGC2468;;;Variable Star;Estrella variable;Ursa Major;Osa Mayor
NGC2469;;;Star;Estrella;Ursa Major;Osa Mayor
NGC247;;;Elliptical Galaxy;Galaxia eliptica;Auriga;Cochero
NGC2470;;;Planetary Nebula;Nebulosa planetaria;Sagittarius;Sagitario
NGC2471;;;Elliptical Galaxy;Galaxia eliptica;Lyra;Lira
NGC2472;;;Galaxy Group;Grupo Galaxtico;Draco;Dragón
NGC2473;;;Open Cluster;Cumulo abierto;Orion;Orión
NGC2474;;;Asterism;Asterismo;Draco;Dragón
NGC2475;;;Galaxy;Galaxia;Perseus;Perseo
NGC2476;;;Globular Cluster;Cumulo globar;Columba;Paloma
NGC2477;;;Planetary Nebula;Nebulosa planetaria;Lepus;Liebre
NGC2478;;;Double Star;Estrella doble;Corvus;Cuervo
NGC2479;;;Spiral Galaxy;Galaxia espiral;Piscis Austrinus;Pez Austral
NGC248;;;HII Region;Región HIII;Monoceros;Unicornio
NGC2480;;;Galaxy Group;Grupo Galaxtico;Equuleus;Caballito
NGC2481;;;White Dwarf;Enana blanca;Aries;Aries
NGC2482;;;Elliptical Galaxy;Galaxia eliptica;Libra;Libra
NGC2483;;;Double Star;Estrella doble;Corona Australis;Corona Austral
NGC2484;;;Galaxy Group;Grupo Galaxtico;Lupus;Lobo
NGC2485;;;Supernova Remnant;Remanente de supernova;Telescopium;Telescopio
NGC2486;;;Open Cluster;Cumulo abierto;Canes Venatici;Lebreles
NGC2487;;;Variable Star;Estrella variable;Scorpius;Escorpión
NGC2488;;;Galaxy Group;Grupo Galaxtico;Hercules;Hércules
NGC2489;;;White Dwarf;Enana blanca;Telescopium;Telescopio
NGC249;;;White Dwarf;Enana blanca;Camelopardalis;Jirafa
NGC2490;;;Emission Nebula;Nebula de emisión;Circinus;Compás
NGC2491;;;Reflection Nebula;Nebula de reflexión;Centaurus;Centauro
NGC2492;;;Variable Star;Estrella variable;Pavo;Pavo Real
NGC2493;;;Star;Estrella;Circinus;Compás
NGC2494;;;Supernova Remnant;Remanente de supernova;Leo Minor;León Menor
NGC2495;;;Red Giant;Gigante roja;Norma;Escuadra
NGC2496;;;Red Giant;Gigante roja;Dorado;Dorado
NGC2497;;;Elliptical Galaxy;Galaxia eliptica;Pictor;Pintor
NGC2498;;;Spiral Galaxy;Galaxia espiral;Capricornus;Capricornio
NGC2499;;;Red Giant;Gigante roja;Gemini;Géminis
NGC25;;;Spiral Galaxy;Galaxia espiral;Chamaeleon;Camaleón
NGC250;;;Dark Nebula;Nebulosa oscura;Coma Berenices;Cabellera de Berenice
NGC2500;;;Supernova Remnant;Remanente de supernova;Indus;Indio
NGC2501;;;HII Region;Región HIII;Bootes;Boyero
NGC2502;;;Emission Nebula;Nebula de emisión;Antlia;Antlia
NGC2503;;;Dark Nebula;Nebulosa oscura;Hydra;Hidra
NGC2504;;;Variable Star;Estrella variable;Andromeda;Andrómeda
NGC2505;;;Emission Nebula;Nebula de emisión;Ophiuchus;Ofiuco
NGC2506;;;Spiral Galaxy;Galaxia espiral;Phoenix;Fénix
NGC2507;;;Reflection Nebula;Nebula de reflexión;Scorpius;Escorpión
NGC2508;;;Spiral Galaxy;Galaxia espiral;Cassiopeia;Casiopea
NGC2509;;;Star;Estrella;Lyra;Lira
NGC251;;;Galaxy;Galaxia;Lepus;Liebre
NGC2510;;;Open Cluster;Cumulo abierto;Canis Minor;Can Menor
NGC2511;;;Asterism;Asterismo;Telescopium;Telescopio
NGC2512;;;Elliptical Galaxy;Galaxia eliptica;Centaurus;Centauro
NGC2513;;;Open Cluster;Cumulo abierto;Orion;Orión
NGC2514;;;Variable Star;Estrella variable;Cassiopeia;Casiopea
NGC2515;;;Dark Nebula;Nebulosa oscura;Reticulum;Retículo
NGC2516;Southern Beehive;Colmena del Sur;Open Cluster;Cumulo abierto;Carina;Quilla
NGC2517;;;Double Star;Estrella doble;Taurus;Tauro
NGC2518;;;Supernova Remnant;Remanente de supernova;Sagittarius;Sagitario
NGC2519;;;Elliptical Galaxy;Galaxia eliptica;Hydra;Hidra
NGC252;;;Asterism;Asterismo;Vulpecula;Zorrilla
NGC2520;;;Quasar;Quasar;Sculptor;Escultor
NGC2521;;;Open Cluster;Cumulo abierto;Sagitta;Flecha
NGC2522;;;Dark Nebula;Nebulosa oscura;Leo;León
NGC2523;;;HII Region;Región HIII;Coma Berenices;Cabellera de Berenice
NGC2524;;;Planetary Nebula;Nebulosa planetaria;Ursa Major;Osa Mayor
NGC2525;;;HII Region;Región HIII;Caelum;Cincel
